id,date,effective_date,event,significance,nations_and_indigenous_organizations,governments,companies_and_assets,province_or_territory,region,sector_theme,amount,economic_mechanism,stage,primary_sources,independent_verification,dissent_or_competing_perspective,status_as_of_2026_07_15,next_catalyst,confidence,unresolved_questions
YTD26-042,2026-05-07,,"NACCA and Alto signed an MOU to connect Indigenous businesses, entrepreneurs, workers, and Indigenous Financial Institutions to Canada's proposed high-speed rail network.","The agreement brings NACCA's network of more than 50 Indigenous Financial Institutions into an early national rail-procurement and workforce framework. It is a pathway to participation, not a contract, equity stake, or construction decision.","National Aboriginal Capital Corporations Association | Indigenous Financial Institutions | potentially affected First Nations, Inuit, and Métis governments and businesses",Government of Canada | Transport Canada,Alto | proposed Toronto-to-Québec City high-speed rail network,Ontario | Quebec,Toronto-to-Québec City corridor,rail | procurement | Indigenous Financial Institutions | workforce | major projects,,MOU | procurement access | business finance | workforce development,MOU,NACCA and Alto sign Indigenous economic participation MOU: https://www.altotrain.ca/en/news/nacca-and-alto-sign-mou-support-indigenous-economic-participation-canadas-high-speed-rail,Transport Canada 2026-27 Indigenous participation funding-program plan: https://tc.canada.ca/en/corporate-services/transparency/corporate-management-reporting/departmental-plans-dp/transport-canada-2026-2027-departmental-plan/2026-2027-details-transfer-payment-programs-under-5-million,"Early engagement can shape procurement and benefits, but an MOU can also remain procedural. The eventual alignment, land effects, consultation, financing, and contract packages will determine whether businesses and rights holders gain durable authority and revenue.","MOU signed during project co-development. No Indigenous equity stake, procurement award, or construction contract was identified by the cutoff.","Corridor and station decisions, Indigenous consultation results, funding-program design, and the first procurement packages or business-finance commitments.",high,Will Indigenous participation include ownership and decision rights or remain focused on procurement and workforce? | How will corridor Nations be engaged before route and land decisions harden?
YTD26-023,2026-05-15,2026-05-15,Baffinland Iron Mines entered CCAA creditor protection while continuing Mary River operations.,"The restructuring exposed the economic concentration risk facing north Baffin communities, Qikiqtani Inuit Association revenues, and more than 300 Inuit jobs when a single major operator carries over $1 billion of debt.",Qikiqtani Inuit Association | Nunavut Tunngavik Incorporated | north Baffin communities,Nunavut Court of Justice | Export Development Canada,Baffinland Iron Mines | Mary River Mine,Nunavut,north Baffin Island | Qikiqtani,mining | Inuit economy | restructuring | employment | royalties,1000000000 CAD (company-reported debt exceeding this amount),CCAA restructuring | debtor-in-possession financing | IIBA | royalties | employment,restructuring,Baffinland announces CCAA proceedings: https://baffinland.com/media-centre/news-releases/2026/baffinland-announces-commencement-of-proceedings-under-companies-creditors-arrangement-act | QIA and NTI respond: https://www.qia.ca/qia-and-nti-respond-to-baffinland-iron-mines-entering-creditor-protection/ | Court-appointed monitor materials: https://cfcanada.fticonsulting.com/baffinland/,Court extends creditor protection; Inuit groups seek safeguards: https://nunatsiaq.com/stories/article/court-extends-baffinland-creditor-protection-inuit-groups-seek-safeguards/ | Local perspectives on a potential closure: https://nunatsiaq.com/stories/article/mary-river-closure-would-hit-economy-but-could-be-good-for-local-hunters-says-arctic-bay-resident/,"A continuation or sale may protect employment and revenue, while some residents also identify harvesting and environmental costs from the mine. Inuit interests are not reducible to preserving operations at any price.","Operations continued under court protection with EDC-supported interim financing. QIA and NTI were participating to protect Inuit employment, agreement rights, and claims.",Court-approved restructuring or sale milestones and the September 22-24 Mary River annual project review forum.,high,"Will a buyer or recapitalization preserve operations and honour Inuit agreements? | What liabilities, expansion plans, and environmental obligations transfer in a restructuring?"
YTD26-024,2026-05-21,2026-05-21,"The Supreme Court of Canada granted leave in British Columbia's appeal of Gitxaala, putting the legal effect of B.C.'s Declaration Act before the Court.","The case may define whether the Declaration Act immediately constrains inconsistent provincial law or operates primarily through the government's action-plan and law-reform duties. The outcome will shape mineral tenure, consultation, and regulatory certainty across B.C.",Gitxaała Nation | Ehattesaht First Nation | First Nations Leadership Council,Government of British Columbia | Supreme Court of Canada,B.C. mineral claims regime,British Columbia,British Columbia,UNDRIP | DRIPA | mineral tenure | consultation | litigation,,judicial review | statutory interpretation | regulatory reform,litigation,Supreme Court of Canada docket 42200: https://www.scc-csc.ca/cases-dossiers/search-recherche/42200/ | B.C. withdraws proposed Declaration Act amendments: https://news.gov.bc.ca/releases/2026PREM0027-000438 | FNLC opposition to proposed suspension: https://www.ubcic.bc.ca/fnlc_opposes_bc_governments_suspend_dripa,Supreme Court to hear appeal on UNDRIP's reach: https://nationalmagazine.ca/en-ca/articles/hot-topics-in-law/2026/supreme-court-to-hear-appeal-on-undrip-s-reach-in-domestic-law,"The Province argues for workable statutory interpretation and regulatory certainty. Gitxaała, Ehattesaht, and First Nations leadership argue that weakening or suspending the Act would retreat from a binding commitment. The April withdrawal avoided immediate legislation but did not settle the law.",Leave granted. The Province's earlier proposed amendments had been withdrawn; the appeal timetable was underway.,"Appellant factum due August 17, 2026; respondent factum due October 13, with later intervention filings before the hearing.",high,Will the Court treat UNDRIP consistency as an immediately enforceable constraint? | How will mineral-claim consultation operate while the appeal is pending?
YTD26-025,2026-05-22,2026-05-22,Six First Nations and Canada announced a collaborative framework for the proposed Mia-yaltwa Ha'lidzogm hoon marine conservation area on B.C.'s central coast.,"The framework pairs Indigenous Protected and Conserved Area leadership with a potential national marine conservation area, creating a governance and stewardship platform rather than treating conservation only as a restriction on industry.",Wuikinuxv Nation | Nuxalk Nation | Kitasoo Xai'xais Nation | Heiltsuk Nation | Gitxaała Nation | Gitga'at First Nation,Government of Canada | Parks Canada,proposed Mia-yaltwa Ha'lidzogm hoon marine conservation area,British Columbia,central coast | north coast,conservation finance | marine stewardship | Guardians | tourism | fisheries,,co-governance | stewardship employment | conservation designation | sustainable-use planning,proposal,Collaborative marine protection announced: https://www.canada.ca/en/parks-canada/news/2026/05/mia-yaltwa-halidzogm-hoon-a-collaborative-approach-to-marine-protection-announced-for-the-central-coast-of-british-columbia.html | Parks Canada backgrounder: https://www.canada.ca/en/parks-canada/news/2026/05/backgrounder-mia-yaltwa-halidzogm-hoon-a-collaborative-approach-to-marine-protection-announced-for-the-central-coast-of-british-columbia.html,Large marine conservation area established on central B.C. coast: https://globalnews.ca/news/11860815/huge-marine-conservation-area-established-central-bc-coast/,"A planning framework is not a final designation or durable fiscal model. Fisheries, shipping, tourism, and community-use rules require detailed negotiation.","Collaborative framework announced; final boundaries, legal designation, management plan, and recurring funding remained under development.","Feasibility work, consultations, boundary and management decisions, and a funded governance agreement.",high,"What powers and funding will sit with each Nation? | How will conservation objectives interact with fisheries, shipping, tourism, and local economic use?"
YTD26-026,2026-05-28,2026-05-28,British Columbia's K’ómoks First Nation Treaty Act received Royal Assent.,"Provincial ratification moved a modern treaty materially closer to effect, with approximately 3,442 hectares of treaty land, an option for additional land, self-government funding, and capital transfers. Federal ratification and an effective date were still required.",K’ómoks First Nation,Government of British Columbia | Government of Canada,,British Columbia,Comox Valley | Vancouver Island,modern treaty | self-government | land ownership | fiscal arrangements,"90525000 CAD (approximately $90.5 million of identified one-time capital, fisheries, implementation, forestry, sewer, economic-priority, and park-management commitments from Canada and B.C.; recurring transfers additional)",treaty | land transfer | capital transfer | self-government funding | fisheries funding,provincial ratification,K’ómoks welcomes provincial Royal Assent: https://komoks.ca/press-release-komoks-welcomes-passage-of-komoks-treaty-act-in-bc-legislature/ | B.C. treaty announcement and terms: https://news.gov.bc.ca/releases/2026IRR0019-000414 | B.C. third-reading bill text: https://lims.leg.bc.ca/pdms/ldp/43rd2nd/3rd_read/gov20-3.htm | B.C. Treaty Commission overview: https://bctreaty.ca/komoks-first-nation/,,"Provincial ratification is not the treaty effective date. Overlap and implementation concerns raised by neighbouring Nations must be treated as distinct rights-holder positions, not as generic opposition to treaties.",B.C. legislation had Royal Assent. Federal ratification and implementation steps remained before the treaty could take effect.,"Federal implementing legislation, final ratification, and the agreed effective date.",high,"When will federal ratification occur? | How will land, taxation, fisheries, and overlapping-interest implementation work in practice?"
YTD26-027,2026-05-28,2026-05-28,The Supreme Court of Canada declined leave in the Wolastoqey private-land title appeal.,"The New Brunswick Court of Appeal's remedy ruling remained final in that province: a court may find title over private land and award damages, but the pleaded declaration could not displace fee-simple interests. The Supreme Court did not decide the merits.",Wolastoqey Nation,Government of New Brunswick | Supreme Court of Canada,private land and dam assets within the claimed area,New Brunswick,Wolastoqey territory,Aboriginal title | private property | remedies | litigation,,title claim | damages | remedial law,litigation,Supreme Court of Canada docket 42204: https://www.scc-csc.ca/cases-dossiers/search-recherche/42204/,Torys analysis of leave denial: https://www.torys.com/our-latest-thinking/publications/2026/05/scc-declines-to-hear-wolastoqey-nation-appeal?sc_lang=en | Report on Supreme Court leave denial: https://globalnews.ca/news/11872287/aboriginal-title-cant-declared-private-land-supreme-court-of-canada/,"Property-rights advocates framed the leave denial as a broad rule. That is too strong. A leave decision gives no reasons and sets no Supreme Court precedent; the New Brunswick appellate ruling remains jurisdiction-specific while other cases, including Cowichan, follow their own records and appeals.",Leave denied; the underlying Wolastoqey litigation could continue within the remedy framework left by the New Brunswick Court of Appeal.,"Further proceedings on title findings, Crown land, and damages, plus separate appeals in other title cases.",high,How will damages be assessed if title is proven? | How will other appellate courts address title and private interests on different pleadings and records?
YTD26-028,2026-05-29,2026-05-29,Six First Nations increased their collective ownership in the East-West Tie transmission line from 3.5 per cent to 20 per cent.,"The transaction used an Ontario guarantee of up to $75 million and private financing to enlarge ownership in an operating, regulated transmission asset.",Bamkushwada Limited Partnership | six participating First Nations,Government of Ontario,NextBridge Infrastructure | East-West Tie transmission line | Canada Life,Ontario,northwestern Ontario,electricity | transmission | loan guarantees | Nation ownership,75000000 CAD (maximum Ontario loan guarantee),equity acquisition | provincial loan guarantee | private debt,financial close,Ontario supports increased ownership in East-West Tie: https://news.ontario.ca/en/release/1007524/ontario-supporting-increased-first-nations-ownership-in-east-west-tie-transmission-line,,"Regulated operating assets can support predictable cash flows, but equity value still depends on acquisition price, debt service, governance, and allowed-return regulation.",Ownership increase and financing announced as complete.,First distributions under the enlarged ownership and disclosure of debt-service coverage.,high,What acquisition valuation and financing terms apply? | How will the six Nations govern reserves and distributions?
YTD26-029,2026-06-04,2026-06-04,"FNFA completed a record $800-million bond issue, bringing cumulative issuance above $5 billion.","The five-year issue was FNFA's largest and moved the pooled-borrowing system into a new scale category, with 195 First Nations in the borrowing pool according to FNFA.",First Nations Finance Authority | 195 participating First Nations,,,Canada-wide,Canada-wide,capital markets | First Nations fiscal institutions | infrastructure | pooled borrowing,800000000 CAD (bond issue),pooled bond issuance | secured lending,financial close,Record-setting $800M FNFA bond: https://fnfa.ca/en/record-setting-800m-fnfa-bond-drives-community-investment-past-5b/ | FNFA June 2026 investor presentation: https://fnfa.ca/wp-content/uploads/2026/06/FNFA-Investor-Presentation-June-26-Issue-16-WEBSITE-EN.pdf,,"FNFA's estimates of jobs and economic output are issuer calculations using Statistics Canada multipliers, not independently audited realized outcomes. Cumulative issuance, outstanding loans, and member project value must not be conflated.","Issue closed. FNFA reported 16 debentures, $5.15 billion issued, and total member draws around $5.2 billion.","Allocation of proceeds, future borrowing-member growth, ratings surveillance, and SPV legislative reform.",high,How much new issuance funds revenue-producing assets? | Will the proposed SPV reform expand project-finance access without weakening the pooled-credit model?
YTD26-030,2026-06-05,,Solid Gold Resources announced an arrangement with Apitipi Anicinapek Nation to launch a majority Indigenous-led junior mining company.,"The proposal would move a First Nation toward issuer-level control rather than a passive project stake, but it remained conditional and unclosed at the cutoff.",Apitipi Anicinapek Nation,,Solid Gold Resources Corp. | Treaty 9 mineral properties,Ontario,Treaty 9 territory | northeastern Ontario,mining | public markets | Nation ownership | critical minerals,,business combination | share ownership | issuer control,proposal,Solid Gold and Apitipi announce proposed transaction: https://www.newswire.ca/news-releases/solid-gold-resources-corp-announces-transaction-with-apitipi-anicinapek-nation-to-launch-one-of-canada-s-first-indigenous-led-junior-mining-companies-on-treaty-9-lands-824057231.html,,"Junior mining ownership carries exploration, dilution, financing, liquidity, governance, and commodity risk. Indigenous-led does not make speculative geology less speculative.",Proposed arrangement announced; closing and resulting issuer ownership not verified.,"Definitive filings, shareholder and regulatory approvals, financing, and transaction close.",medium,What fully diluted ownership and control will the Nation hold? | How will exploration funding be raised without unacceptable dilution or guarantees?
YTD26-031,2026-06-08,2026-06-08,B.C. Supreme Court quashed the KSM project's substantially-started determination because consultation with Tsetsaut Skii km Lax Ha had been inadequate.,"The decision showed that a project milestone can fail even when a court does not reject the regulator's substantive project reasoning, if consultation with an evolving rights claimant was legally insufficient.",Tsetsaut Skii km Lax Ha | Nisga'a Nation | Tahltan Nation,Government of British Columbia | B.C. Supreme Court,Seabridge Gold | KSM Project,British Columbia,northwestern British Columbia | Golden Triangle,mining | consultation | environmental assessment | litigation,,judicial review | consultation | permit preservation,judgment,Tsetsaut Skii km Lax Ha legal-win statement: https://www.newswire.ca/news-releases/legal-win-for-tsetsaut-skii-km-lax-ha-nation-b-c-supreme-court-strikes-down-substantial-start-determination-for-ksm-mine-and-orders-proper-consultation-quashing-led-to-justice-not-ruling-on-ssd-reasonableness-846724457.html | Seabridge Gold statement: https://www.seabridgegold.com/press-release/bc-supreme-court-decides-seabridge-gold-s-ksm-substantially-started-determination-reasonable,Gowling WLG legal analysis: https://gowlingwlg.com/en/insights-resources/articles/2026/how-evolving-indigenous-claims-can-unsettle-major-projects | SkeenaWild summary: https://skeenawild.org/bc-supreme-court-ksm-mine/,Tsetsaut emphasized that the court did not uphold the determination on the merits. Seabridge emphasized that the underlying reasonableness analysis was not rejected. The precise holding is procedural: the decision was quashed for inadequate consultation and must be reconsidered.,Determination quashed; parties were to make submissions and the Province was to reconsider after proper consultation.,Reconsultation and a new substantially-started determination after the court-directed process.,high,Can the Province cure consultation without altering the substantive outcome? | What costs and schedule consequences arise for KSM and affected Nations?
YTD26-032,2026-06-09,2026-06-09,"Ksi Lisims LNG announced benefit agreements with Lax Kw'alaams, Gitxaała, and Metlakatla, and two Nations withdrew federal court challenges.","The agreements reduced a visible litigation obstacle, but private terms and the absence of a final investment decision prevent the announcement from being counted as project ownership or executed project capital.",Nisga'a Nation | Lax Kw'alaams Band | Gitxaała Nation | Metlakatla First Nation,Government of Canada | Government of British Columbia,Ksi Lisims LNG | Western LNG | Rockies LNG | Prince Rupert Gas Transmission pipeline,British Columbia,Nisga'a treaty lands | north coast | northwestern British Columbia,LNG | major projects | benefit agreements | inter-Nation relations,,benefit agreement | litigation withdrawal | project partnership | prospective project finance,proposal,Ksi Lisims LNG project news: https://www.ksilisimslng.com/news | Major Projects Office project profile: https://www.canada.ca/en/privy-council/major-projects-office/projects/national/ksi-lisims.html,Benefit agreements signed; challenges withdrawn: https://infonews.ca/news/7670404/ksi-lisims-lng-signs-benefit-agreements-with-first-nations-challenges-withdrawn/ | Yellowhead Institute: Buried Burdens: https://yellowheadinstitute.org/report/buried-burdens-the-true-costs-of-liquified-natural-gas-lng-ownership/,"Proponents frame agreements and Indigenous partnership as de-risking. Yellowhead argues that ownership can also transfer construction, environmental, pipeline, and inter-Nation risk into Indigenous balance sheets. Neither lens substitutes for transaction terms and cash-flow analysis.","Benefit agreements executed and litigation reduced. Project still targeted a 2026 final investment decision; financing, construction sanction, and full ownership economics remained unconfirmed.","Final investment decision, financing plan, power arrangement, pipeline plan, and disclosure of Indigenous economic terms.",high,"Who bears cost overruns and pipeline risk? | What cash equity, debt, guarantees, distributions, and downside protections apply to the Nisga'a interest?"
YTD26-033,2026-06-15,2026-06-15,Rose Valley Wind reached financial close with $164.4 million of Canada Infrastructure Bank financing and majority ownership by a 10-First-Nation development corporation.,"This is executed project finance, not only an equity promise: a $128-million project loan and $36.4-million Indigenous equity loan support a 210-megawatt project with a SaskPower power-purchase agreement.",M-Squared Renewables | nine Meadow Lake Tribal Council Nations | Mistawasis Nêhiyawak First Nation,Canada Infrastructure Bank | SaskPower,Potentia Renewables | Rose Valley Wind | Desjardins Group | KfW IPEX-Bank,Saskatchewan,Assiniboia | southern Saskatchewan,wind power | project finance | Nation ownership | electricity,164400000 CAD ($128M project loan plus $36.4M Indigenous equity loan),project loan | Indigenous equity loan | majority ownership | power-purchase agreement,financial close,CIB advances Rose Valley Wind: https://cib-bic.ca/en/medias/articles/advancing-wind-energy-infrastructure-and-indigenous-ownership-in-saskatchewan/,,"Financial close materially improves certainty but does not eliminate construction, wind-resource, availability, counterparty, refinancing, or governance risk.",Financing closed; construction and delivery of 28 turbines remained ahead.,"Construction progress, commercial operation, final cost, and first distributions.",high,What percentage and economics sit with M-Squared after all financing? | What construction-completion and downside protections apply to the Indigenous equity loan?
YTD26-034,2026-06-16,2026-06-16,Snuneymuxw and Musqueam completed the acquisition of River Rock Casino Resort through a Snuneymuxw-majority partnership.,"The closed transaction places a major operating gaming and hospitality asset under First Nation ownership and operation, with the purchasing partnership structured to meet Indigenous procurement criteria.",Snuneymuxw First Nation | Musqueam Indian Band | Petroglyph Development Group | Musqueam Capital Corporation,,River Rock Casino Resort,British Columbia,Richmond | Lower Mainland,gaming | hospitality | commercial real estate | Nation ownership,,asset acquisition | majority ownership | operating control,transaction closed,Musqueam and Snuneymuxw complete River Rock transaction: https://www.musqueam.bc.ca/musqueam-indian-band-and-musqueam-capital-corp-complete-river-rock-casino-resort-transaction/,River Rock casino acquisition completed: https://g3newswire.com/snuneymuxw-and-musqueam-complete-river-rock-casino-acquisition/,"Terms were private. Gaming assets introduce regulatory, social-licence, leverage, operating, and concentration risks that require explicit Nation-level governance.",Transaction closed and operating control transferred.,"Post-close integration, regulatory reporting, debt service, distributions, employment, and procurement outcomes.",high,"What purchase price, leverage, and distribution policy apply? | How will the partners govern operating, social, and reputational risk?"
YTD26-035,2026-06-16,2026-06-16,British Columbia opened its $1-billion First Nations Equity Financing Program.,"The program gives B.C. a large loan-guarantee tool for First Nation equity stakes, with guarantees from $5 million to $400 million and generally capped at 20 per cent of project cost. No closed transaction was found by the cutoff.",B.C. First Nations | eligible First Nation-owned entities,Government of British Columbia,,British Columbia,British Columbia,loan guarantees | capital formation | major projects | Nation ownership,"1000000000 CAD (provincial guarantee capacity, not capital deployed)",provincial loan guarantee | equity acquisition support,implementation,B.C. opens First Nations Equity Financing Program: https://archive.news.gov.bc.ca/releases/news_releases_2024-2028/2026FIN0023-000703.htm | Program rules and application information: https://www2.gov.bc.ca/gov/content/employment-business/economic-development/indigenous-economic-development-resources/first-nations-equity-financing-program,,"Guarantee capacity is not investment and does not make a weak project strong. It transfers defined credit risk to the Province and requires disciplined pricing, governance, and downside analysis.",Program open for applications; zero verified closed guarantees located.,"First approved and closed guarantee, including disclosure of project, amount, ownership percentage, and risk allocation.",high,Which projects will qualify and how will the Province disclose contingent liabilities? | Will smaller Nations have the advisory capacity to participate on equal terms?
YTD26-036,2026-06-22,,Canada committed $21.6 million to a clean-energy project led by Sayisi Dene First Nation in Manitoba.,"The commitment supports northern community energy infrastructure and local ownership, but project delivery and operating economics remain the proof points.",Sayisi Dene First Nation,Government of Canada | Natural Resources Canada,Sayisi Dene clean-energy project,Manitoba,Tadoule Lake | northern Manitoba,clean energy | remote infrastructure | Nation ownership | northern economy,21600000 CAD (federal investment commitment),grant or contribution | community energy infrastructure,financing committed,Canada invests $21.6M in Sayisi Dene clean energy: https://www.canada.ca/en/natural-resources-canada/news/2026/06/government-of-canada-invests-216-million-in-first-of-its-kind-clean-energy-project-in-manitoba.html,,"A contribution announcement is not construction completion. Remote logistics, operations, maintenance, and diesel-displacement performance determine lasting value.",Funding committed; project execution remained ahead.,"Construction award, commissioning, operating model, and measured energy-cost and diesel reductions.",high,What is the full capital stack and asset ownership? | Who bears operating and maintenance risk after commissioning?
YTD26-037,2026-06-23,2026-06-23,Canada and Ontario announced approximately $715 million of financing and guarantees to support seven Williams Treaties First Nations in the Darlington New Nuclear Project.,"The package is the largest federal Indigenous loan guarantee announced to date and could produce a significant minority interest in new nuclear infrastructure. The wording is prospective: the Nations are financed to eventually own, not yet shown as registered owners of a completed asset.",Alderville First Nation | Beausoleil First Nation | Chippewas of Georgina Island First Nation | Chippewas of Rama First Nation | Curve Lake First Nation | Hiawatha First Nation | Mississaugas of Scugog Island First Nation | Williams Treaties First Nations,Government of Canada | Government of Ontario,Ontario Power Generation | Darlington New Nuclear Project,Ontario,Clarington | Williams Treaties territory,nuclear | loan guarantees | project finance | Nation ownership,"715000000 CAD (approximate financing, supported half by federal and half by Ontario guarantees)",federal loan guarantee | provincial loan guarantee | equity financing | prospective minority ownership,financial close,Largest federal Indigenous loan guarantee supports Darlington: https://www.canada.ca/en/department-finance/news/2026/06/government-announces-largest-indigenous-loan-guarantee-in-canadian-history-to-support-darlington-new-nuclear-project.html,,"Guarantees lower financing cost but do not eliminate construction, technology, schedule, regulatory, decommissioning, or long-duration debt risk. 'Eventually own' should not be reported as current ownership.",Financing and guarantees announced; the future ownership stake and project remained subject to construction and transaction milestones.,"Definitive ownership close, project construction milestones, cost updates, and disclosure of percentage interest and downside protections.",high,"What exact equity percentage and valuation will the Nations receive? | Who bears cost overruns, delays, and decommissioning exposure?"
YTD26-038,2026-06-24,,Canada advanced the Inuit-owned Grays Bay Road and Port project through major-project review and conditional preconstruction support.,"The project could link the mineral-rich Slave Geological Province to an Arctic deep-water port under Inuit ownership, but it remained in impact assessment, not permitted construction.",Kitikmeot Inuit Association | West Kitikmeot Resources Corp.,Government of Canada | Nunavut Impact Review Board | Government of Nunavut,Grays Bay Road and Port Project,Nunavut | Northwest Territories,Kitikmeot | Slave Geological Province,Arctic infrastructure | critical minerals | port | road | Inuit ownership,50000000 CAD (up to this amount of conditional federal preconstruction support announced in May),Inuit ownership | federal preconstruction funding | impact assessment | project finance,proposal,Major Projects Office: Grays Bay: https://www.canada.ca/en/privy-council/major-projects-office/projects/national/grays-bay.html | Canada invests in Arctic critical-mineral infrastructure: https://www.canada.ca/en/natural-resources-canada/news/2026/05/canada-invests-in-arctic-infrastructure-to-bring-critical-minerals-to-market-and-strengthen-northern-communities.html | CanNor investment backgrounder: https://www.canada.ca/en/northern-economic-development/news/2026/04/backgrounder-cannor-invests-in-projects-to-strengthen-nunavuts-economy-infrastructure-and-arctic-security.html,Grays Bay enters lengthy review process: https://nunatsiaq.com/stories/article/mini-celebration-before-lengthy-review-process-for-grays-bay-project/,"The strategic case combines Inuit ownership, sovereignty, and mineral access. The counterweight is a large, remote, climate-exposed project whose mine-dependent traffic, capital cost, environmental effects, and operating subsidy need rigorous proof.",Impact statement accepted for review. Federal support remained conditional; the project was not approved or financed for construction.,"Technical review in August, community meetings in fall 2026, and a possible NIRB recommendation in early 2027.",high,What committed mine traffic underwrites the road and port? | What is the full capital cost and long-term operating subsidy or revenue model?
YTD26-039,2026-07-02,,"Canada and Alberta advanced a proposed one-million-barrel-per-day oil pipeline to B.C.'s south coast, with a possible Indigenous equity component.","The proposal became a national political and major-project file before it had a final route, proponent, financing, permits, or consent. A possible 10-per-cent Indigenous interest is an ambition, not ownership.",Tsawwassen First Nation | Union of B.C. Indian Chiefs | First Nations Leadership Council | potential corridor Nations,Government of Canada | Government of Alberta | Government of British Columbia | Major Projects Office,proposed southern B.C. pipeline | Trans Mountain Corporation | Alberta Petroleum Marketing Commission | Pembina Pipeline Corporation,Alberta | British Columbia,southern Alberta-to-B.C. corridor | Roberts Bank,oil pipeline | major projects | rights | consent | prospective ownership,"100000000000 CAD (government estimate of trade capacity enabled, not project cost or Indigenous equity)",project proposal | potential equity | major-project review | possible loan guarantee,proposal,Canada and Alberta advance west coast pipeline proposal: https://www.pm.gc.ca/en/news/news-releases/2026/07/02/canada-and-alberta-advance-west-coast-pipeline-project-proposal-and | Major Projects Office project profile: https://www.canada.ca/en/privy-council/major-projects-office/projects/national/west.html | Alberta project page: https://www.alberta.ca/west-coast-oil-pipeline | Tsawwassen First Nation response: https://tsawwassenfirstnation.com/tsawwassen-first-nation-responds-to-proposed-southern-pipeline-route/ | UBCIC response: https://www.ubcic.bc.ca/ubcic_responds_to_coordinated_government_push_for_fossil_fuel_expansion_in_british_columbia,APTN report on First Nation concerns: https://www.aptnnews.ca/national-news/imminent-alberta-pipeline-proposal-submission-has-b-c-environmentalists-first-nations-readying-for-battle/ | Associated Press report: https://apnews.com/article/654fe58e72da9bd976563223b7759c2e,"Supporters frame the project as export diversification, sovereignty, and a chance for equity. Tsawwassen and First Nations leadership emphasized lack of prior consultation, rights, climate effects, marine risk, and the difference between an equity offer and consent.","Early proposal referred to the Major Projects Office. No final route, designated proponent, Indigenous partner group, regulatory application, financing, or ownership agreement.","Potential national-interest decision by October 1, 2026, route and proponent disclosure, and any regulatory filing. Alberta proposed a September 1, 2027 construction start, subject to major unresolved steps.",high,"Who is the legal and financial proponent? | Which Nations would consent, oppose, or seek ownership, and on what route? | What economics support the project after construction, marine, climate, and legal risk?"
YTD26-040,2026-07-06,2026-07-06,"B.C. and First Nations advanced three conservation-planning areas covering about 127,000 hectares with a three-year mineral-tenure pause.",The temporary tenure pause creates space for Nation-led planning and illustrates how land certainty can require sequencing mineral access after governance decisions rather than before them.,participating B.C. First Nations,Government of British Columbia,three conservation-planning areas,British Columbia,British Columbia,conservation | mineral tenure | land-use planning | stewardship,,interim mineral-tenure pause | land-use planning | co-governance,consultation,B.C. advances First Nation conservation planning: https://archive.news.gov.bc.ca/releases/news_releases_2024-2028/2026WLRS0032-000798.htm,,"A pause can reduce near-term mineral optionality while improving planning legitimacy. The economic result depends on final design, stewardship funding, affected tenure treatment, and alternative land-based revenue.",Interim mineral-tenure pause and planning process in effect; final designations not complete.,"Draft plans, consultation, final designations, and funded stewardship arrangements.",high,Which existing interests are affected and how? | Will final plans include durable Nation governance and revenue mechanisms?
YTD26-041,2026-07-14,,Five B.C. First Nation development organizations secured an option for up to a $1-billion majority interest in LNG Canada Phase 2 storage infrastructure.,"The proposed build-own-leaseback structure could become one of Canada's largest Indigenous energy-infrastructure stakes, but it depends on LNG Canada sanctioning Phase 2 and on financing and closing a separate asset transaction.",Gitga'at First Nation development organization | Gitxaała Nation development organization | Haisla Nation development organization | Kitselas First Nation development organization | Kitsumkalum First Nation development organization | MNT Partnership,Government of Canada | Government of British Columbia,LNG Canada | proposed Phase 2 storage tank | Mitsubishi Corporation | PETRONAS | PetroChina | KOGAS | Shell,British Columbia,Kitimat | north coast,LNG | project finance | Nation ownership | major projects,"1000000000 CAD (maximum prospective investment under an option, not closed capital)",option | special-purpose vehicle | build-own-leaseback | prospective debt and equity,option,MNT equity option for LNG Canada Phase 2: https://www.newswire.ca/news-releases/landmark-indigenous-equity-option-creates-potential-for-one-of-canada-s-largest-indigenous-ownership-stakes-in-energy-infrastructure-at-lng-canada-808661298.html | Canada supports proposed LNG Canada Phase 2 investment co-operation: https://www.canada.ca/en/natural-resources-canada/news/2026/05/enhanced-investment-co-operation-advances-efforts-around-lng-canadas-proposed-phase-2-expansion.html,LNG Canada option agreement with five First Nations: https://ckpgtoday.ca/2026/07/14/lng-canada-equity-option-agreement-with-five-first-nations/,"An option creates negotiating leverage but no present asset, revenue, or committed ownership. Leaseback credit, construction cost, Phase 2 sanction, debt terms, and residual-value risk require scrutiny.","Option announced. Phase 2 had no final investment decision, and the MNT acquisition was not financed or closed.","LNG Canada Phase 2 final investment decision targeted by proponents for late 2026, followed by definitive financing and asset agreements.",high,"What return, lease term, guarantees, and residual-value exposure would MNT assume? | How will the five partners allocate equity, governance, debt, and distributions?"
